filename,peak KAM1 Actual,peak KAM1 Predict,peak KAM2 Actual,peak KAM2 Predict
L_4b79942c-c4f1-4cf8-8f1e-da476c2465cb_model.csv,7.5559893,6.9689875,5.7399178,5.364068
L_4e1f3cb5-13d7-4ba7-901e-0e1f4403b67f_model.csv,3.9555295,3.4556656,4.0471764,3.1413052
L_4f339f19-897b-42ab-87bf-21cac1708ef2_model.csv,3.1229124,3.7802162,3.0767787,4.0608573
L_4f99fdd2-55e0-4f79-baa5-075e9ecddf33_model.csv,5.457336,5.294908,3.6671898,4.3581414
L_552af8ae-ab32-4c08-860a-51e7c19acca8_model.csv,2.6952012,2.607679,1.816171,2.2301617
L_56821530-0071-4f0f-b234-4fac75b99c40_model.csv,4.0373197,3.1383128,3.4477367,3.0432105
L_57800659-7325-403d-be3a-a9e139bb32f1_model.csv,5.5153103,4.9933853,6.1264343,6.1475697
L_59e5fc39-890f-4e16-bd66-4a0fdc901fac_model.csv,3.0811198,3.1181674,3.7996845,4.060879
L_5a5ea48b-318b-46ae-8c72-3075eb2573ec_model.csv,4.171304,4.2446437,3.7748759,4.1366787
L_5b520fb2-4b9e-4a25-8f54-f65c9cad77a2_model.csv,4.3202553,3.4431357,6.2738547,4.541437
L_5d643872-dc3f-420b-9226-b9e9f89beb6e_model.csv,3.5983198,3.1545858,7.5088053,6.199688
L_5f8d7f66-37fd-4d8f-aefc-cce8cded73e3_model.csv,8.154925,6.8825073,2.8977957,3.4194016
L_622789cf-c8b6-4f68-a8c0-52320abe9bfb_model.csv,3.5260255,3.6098845,4.452906,4.390092
L_62700364-9108-4098-b825-e87c6f210d0b_model.csv,2.9470458,3.3814855,2.4592483,3.0462437
L_627ff35a-b72a-4a97-8e7a-ddd1356ee124_model.csv,7.6754613,8.797197,5.834701,6.8236675
L_6671a2d1-e3a2-4094-a6e4-f09c6f7ea04f_model.csv,3.0703347,1.9726393,3.1739767,1.8436947
L_67ee806d-8d6c-4466-870a-4418d602f351_model.csv,6.030318,5.583438,3.2895143,2.9023414
L_68d135a5-1e22-4c67-9dc7-eac7256683cc_model.csv,2.4460032,1.5006306,2.3420331,1.6976616
L_70295046-49d8-4700-93ec-b32a28302661_model.csv,8.626919,8.466984,6.386511,6.6467113
L_722c5317-787e-47de-b98c-5986495b527a_model.csv,4.4494295,5.523017,1.858126,2.1874568
L_76d79dc9-dde2-4b1a-80da-468fb49036d5_model.csv,3.6372566,4.037114,2.6122859,3.352398
L_774c49d4-f60e-408c-83ee-b2951aa152b9_model.csv,2.2043226,4.6153045,2.0907965,3.9816608
L_7a8cfff7-21d1-4256-b7ce-b33e4c95bb2a_model.csv,7.7957315,8.761616,7.435594,7.971652
L_7cd3485c-822d-4253-aef3-e20b39d2cd5d_model.csv,4.1167016,4.5321655,3.0505805,3.730945
L_7f21c91e-0bd9-4be6-a22c-20d1d80dc2f4_model.csv,2.257455,2.2721748,1.6643106,1.4986591
L_80ba8e66-486e-4cec-8a05-cd851b68c40d_model.csv,6.1474323,6.581523,6.276148,7.0708995
L_834a8532-b590-41a8-b687-af1d0c0c4548_model.csv,10.243326,10.189972,9.309611,10.325954
L_8368ee90-ded3-424b-b482-66daaa6b6c5d_model.csv,7.3801265,5.827423,6.4776382,5.360893
L_83914040-2926-4e46-bcda-a1a6bdc47442_model.csv,5.4048615,7.0621414,3.5723748,4.210686
L_87a2a042-ef7b-4e60-a03c-498695866865_model.csv,1.996407,1.575572,1.7613477,1.1571679
L_8a5e870e-b1d9-47af-80c9-2fef9878e13f_model.csv,0.94916207,0.6256515,1.6183958,0.7876914
L_8bc15b35-ccc0-4503-b551-e47b8c40e9f2_model.csv,6.271967,7.4440055,6.076719,7.1153073
L_8d0bd219-cc9b-4956-b49d-d7530934b85c_model.csv,6.426419,7.0231533,3.4839125,4.5099072
L_8eb2369d-4307-4480-8587-2763e4e22ff3_model.csv,4.0762906,7.8820815,2.3298857,5.213188
L_900a82db-2866-450c-8dbd-fda0715162c3_model.csv,3.8618443,4.941763,4.2638316,6.4446845
L_941f0014-bd8a-49df-8c22-31fcb41d7003_model.csv,3.0572724,3.2479615,3.4121883,3.466146
L_958a5d1a-b6b6-4aef-8bc2-6d723475abee_model.csv,5.2211323,4.3190355,4.852391,4.654209
L_95a03797-9f08-4137-a7aa-ca900c239a8f_model.csv,3.780445,5.15516,4.9183745,6.3645487
L_9643ae2f-aafb-491e-ad01-2fc283bbc42a_model.csv,10.362295,8.613707,8.604701,6.780452
L_97349931-470d-4bb9-bbe8-53527ec57084_model.csv,3.5676901,3.456296,3.9829555,3.5762138
L_979c712d-a83b-4c2c-9f67-e13fd77c3d3e_model.csv,4.7586136,3.9498692,5.4569554,4.472927
L_993af61e-34de-4cea-91e7-742895e888f1_model.csv,4.411229,5.163474,3.4304352,4.319948
L_9c2846e5-98e0-401e-a4f4-6454239229cb_model.csv,4.5230737,5.141134,2.8921075,3.5435414
L_9d4271cc-96c5-4cfb-9c71-8da6505de8e6_model.csv,2.7538493,2.9441657,1.3982548,1.4349539
L_9ed6497b-9595-42ca-a927-a5779f93b310_model.csv,4.350476,4.5987663,2.1575215,1.6555293
