filename,frame,actual_kam,predicted_kam
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,59,0.4671415,2.1077304
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,60,0.08677695,1.2869177
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,61,-0.14618294,0.55702066
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,62,-0.21882176,0.077234834
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,0,0.19934884,-0.03582567
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,1,0.20628025,-0.07877585
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,2,0.061987415,-0.2230826
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,3,-0.173085,-0.47315735
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,4,-0.16769123,-0.5276518
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,5,0.24482158,-0.101649344
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,6,0.9130506,0.8489101
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,7,1.6755364,1.7911723
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,8,2.3910182,2.4551432
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,9,2.8771858,2.8492098
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,10,3.0659604,3.2612739
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,11,3.1256518,3.5054102
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,12,3.166191,3.6457064
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,13,3.1415281,3.6810834
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,14,3.0634434,3.607699
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,15,2.9969044,3.6203542
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,16,2.9725776,3.624723
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,17,3.0076842,3.6453657
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,18,3.068806,3.7277918
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,19,3.1052022,3.8088253
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,20,3.132898,3.8790314
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,21,3.1960914,3.8827956
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,22,3.293461,3.7972953
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,23,3.3793864,3.6960018
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,24,3.393121,3.6163168
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,25,3.2902482,3.5565305
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,26,3.085511,3.4834285
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,27,2.845683,3.417098
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,28,2.6363652,3.3729432
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,29,2.4948525,3.3163052
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,30,2.427993,3.2413914
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,31,2.4214969,3.1678162
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,32,2.4443777,3.091289
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,33,2.4528904,3.0423431
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,34,2.417174,3.02448
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,35,2.350518,3.052285
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,36,2.303123,3.0814598
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,37,2.3178267,3.1024466
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,38,2.3963885,3.1580162
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,39,2.5054915,3.218861
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,40,2.6104045,3.2689428
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,41,2.6995974,3.2813292
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,42,2.7727888,3.2742138
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,43,2.8366778,3.2194133
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,44,2.9029589,3.2066839
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,45,2.9667618,3.3118343
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,46,3.0035334,3.3588533
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,47,2.99377,3.3289914
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,48,2.9412155,3.278102
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,49,2.8642094,3.2654874
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,50,2.777565,3.2458894
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,51,2.6830175,3.2257016
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,52,2.5680282,3.1366425
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,53,2.409365,3.03607
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,54,2.181794,2.7520423
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,55,1.8679539,2.3762445
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,56,1.4688138,1.8475053
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,57,1.0080047,1.0843675
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,58,0.52094823,0.69507027
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,59,0.054738168,0.27635404
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,60,-0.3075685,-0.12398949
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,61,-0.48860896,-0.45796287
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,62,-0.50234437,-0.5543962
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,63,-0.45361033,-0.6270539
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,64,-0.42363808,-0.6883331
L_04e9929e-18dd-4f25-bdff-25a48efbb1ef_model.csv,0,-0.1642014,-0.37500936
L_04e9929e-18dd-4f25-bdff-25a48efbb1ef_model.csv,1,-0.25176832,-0.4070838
L_04e9929e-18dd-4f25-bdff-25a48efbb1ef_model.csv,2,-0.63649935,-0.36246932
L_04e9929e-18dd-4f25-bdff-25a48efbb1ef_model.csv,3,-1.0829489,-0.18268216
