filename,peak KAM1 Actual,peak KAM1 Predict,peak KAM2 Actual,peak KAM2 Predict
L_774c49d4-f60e-408c-83ee-b2951aa152b9_model.csv,2.2043226,4.3202486,2.0907965,3.1933756
L_7a8cfff7-21d1-4256-b7ce-b33e4c95bb2a_model.csv,7.7957315,9.070285,7.435594,7.954771
L_7cd3485c-822d-4253-aef3-e20b39d2cd5d_model.csv,4.1167016,4.132053,3.0505805,3.4961495
L_7f21c91e-0bd9-4be6-a22c-20d1d80dc2f4_model.csv,2.257455,2.4071147,1.6643106,1.7708842
L_80ba8e66-486e-4cec-8a05-cd851b68c40d_model.csv,6.1474323,6.0745354,6.276148,6.683845
L_834a8532-b590-41a8-b687-af1d0c0c4548_model.csv,10.243326,8.823878,9.309611,9.101089
L_8368ee90-ded3-424b-b482-66daaa6b6c5d_model.csv,7.3801265,5.1058803,6.4776382,5.5870557
L_83914040-2926-4e46-bcda-a1a6bdc47442_model.csv,5.4048615,7.3146386,3.5723748,3.198399
L_87a2a042-ef7b-4e60-a03c-498695866865_model.csv,1.996407,1.3872756,1.7613477,0.9885552
L_8a5e870e-b1d9-47af-80c9-2fef9878e13f_model.csv,0.94916207,0.5773127,1.6183958,1.078093
L_8bc15b35-ccc0-4503-b551-e47b8c40e9f2_model.csv,6.271967,6.720641,6.076719,6.770854
L_8d0bd219-cc9b-4956-b49d-d7530934b85c_model.csv,6.426419,6.7219067,3.4839125,4.136279
L_8eb2369d-4307-4480-8587-2763e4e22ff3_model.csv,4.0762906,6.675598,2.3298857,4.519591
L_900a82db-2866-450c-8dbd-fda0715162c3_model.csv,3.8618443,4.7765236,4.2638316,5.5491447
L_941f0014-bd8a-49df-8c22-31fcb41d7003_model.csv,3.0572724,3.0820658,3.4121883,2.6212428
L_958a5d1a-b6b6-4aef-8bc2-6d723475abee_model.csv,5.2211323,4.7296762,4.852391,4.795695
L_95a03797-9f08-4137-a7aa-ca900c239a8f_model.csv,3.780445,4.603841,4.9183745,6.430098
L_9643ae2f-aafb-491e-ad01-2fc283bbc42a_model.csv,10.362295,7.490797,8.604701,6.956914
L_97349931-470d-4bb9-bbe8-53527ec57084_model.csv,3.5676901,3.2084985,3.9829555,3.0416172
