filename,frame,actual_kam,predicted_kam
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,28,2.402761,3.0073934
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,29,2.3672552,2.9365363
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,30,2.3401458,2.8554485
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,31,2.316103,2.7955008
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,32,2.2910314,2.704022
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,33,2.2639122,2.5952375
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,34,2.2364404,2.5259783
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,35,2.210634,2.4707572
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,36,2.1862288,2.4594886
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,37,2.1629796,2.458101
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,38,2.1431007,2.4501803
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,39,2.13346,2.413706
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,40,2.137232,2.3895752
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,41,2.151977,2.4152257
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,42,2.1705432,2.4788847
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,43,2.1829858,2.5512574
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,44,2.1856802,2.6001947
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,45,2.1832993,2.6775463
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,46,2.1823,2.760458
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,47,2.1839166,2.835323
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,48,2.1891289,2.8937292
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,49,2.2013364,2.950986
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,50,2.232923,3.0366805
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,51,2.2999864,3.135607
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,52,2.4018888,3.2228925
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,53,2.498021,3.2564347
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,54,2.5095818,3.2395658
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,55,2.3498647,3.159469
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,56,1.9895854,2.9295328
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,57,1.489605,2.5255206
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,58,0.95354766,1.9125737
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,59,0.4671415,1.1181507
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,60,0.08677695,0.4532975
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,61,-0.14618294,-0.0017568097
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,62,-0.21882176,-0.19087276
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,0,0.19934884,-0.34086552
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,1,0.20628025,-0.48072726
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,2,0.061987415,-0.7230419
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,3,-0.173085,-1.0380503
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,4,-0.16769123,-1.0732039
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,5,0.24482158,-0.65424293
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,6,0.9130506,0.6238861
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,7,1.6755364,1.7574732
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,8,2.3910182,2.266385
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,9,2.8771858,2.6606953
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,10,3.0659604,2.8919494
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,11,3.1256518,3.0157135
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,12,3.166191,3.0542238
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,13,3.1415281,3.1486568
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,14,3.0634434,3.1901066
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,15,2.9969044,3.1644974
