n,peak KAM1 Actual,peak KAM1 Predict,peak KAM2 Actual,peak KAM2 Predict
L_267c0aeb-9784-441e-b2c7-b93a68f83975_model.csv,3.9826593,4.8796754,3.9813082,4.8096905
L_283aa439-aad8-4451-bc0e-9694a9d43798_model.csv,5.5291557,5.655327,6.6453276,5.6595416
L_285ff424-50cf-49f5-8f1d-2eb023cfc5f6_model.csv,5.7654667,5.8148146,3.6701148,5.771041
L_28db7b5c-a020-4f66-aab8-c97763ffa8a4_model.csv,3.9796255,5.5526567,3.8907366,5.4916887
L_2a7cd00e-2e16-4b75-a766-944e83ff5e0a_model.csv,6.1704435,4.530018,3.4271615,4.4172926
L_2be4ae44-9944-40d1-b959-e6df3e788d8f_model.csv,3.3801968,5.275647,4.991033,5.1721525
L_333a7069-f2de-4669-993b-e08d1ece9a8f_model.csv,6.187456,5.379686,5.232029,5.20893
L_352b4f9b-5bc9-46af-a90b-092c09f2e77a_model.csv,4.443603,5.589864,5.2651944,5.563449
L_36dca6a6-9dd7-4fd8-b7fa-63310c13b424_model.csv,4.4391713,5.057348,3.9082172,4.987815
L_39785727-82c2-44e8-afa0-bf3196ada1f2_model.csv,5.140296,5.6330113,5.8803053,5.67561
L_3c61b91e-d830-4bf6-8954-0796d3b7d173_model.csv,4.437171,5.819895,6.385454,5.7375464
L_3e5b4571-955c-4fc3-bb85-20a15f7c472d_model.csv,5.349329,5.3034554,3.3223212,5.217569
L_3f2196ca-1a70-4240-a2c7-0da387a43fbb_model.csv,3.1952448,4.275877,0.9285963,4.315684
L_3f5ece01-d073-4b2f-89a5-9767a1a678d4_model.csv,3.583145,5.223831,2.3067455,5.102846
L_4120dc04-f913-4176-9155-951001675edc_model.csv,2.295529,4.7133255,2.50307,4.5744057
L_42586325-5b0f-4e2e-952a-a51f2a87ca9a_model.csv,2.690227,3.8321733,1.714863,3.7138903
L_4612ab0d-cf7d-480f-b694-4e5ff9ba0754_model.csv,3.1825218,4.5738297,3.3132102,4.490081
L_4b79942c-c4f1-4cf8-8f1e-da476c2465cb_model.csv,7.5559893,5.533271,5.7399178,5.415395
L_4e1f3cb5-13d7-4ba7-901e-0e1f4403b67f_model.csv,3.9555295,4.366901,4.0471764,4.036035
L_4f339f19-897b-42ab-87bf-21cac1708ef2_model.csv,3.1229124,4.2975445,3.0767787,4.107774
L_4f99fdd2-55e0-4f79-baa5-075e9ecddf33_model.csv,5.457336,4.920476,3.6671898,4.4929533
L_552af8ae-ab32-4c08-860a-51e7c19acca8_model.csv,2.6952012,3.965192,1.816171,3.7750406
L_56821530-0071-4f0f-b234-4fac75b99c40_model.csv,4.0373197,4.6411047,3.4477367,4.5899467
L_57800659-7325-403d-be3a-a9e139bb32f1_model.csv,5.5153103,5.383788,6.1264343,5.3890533
L_59e5fc39-890f-4e16-bd66-4a0fdc901fac_model.csv,3.0811198,4.4982176,3.7996845,4.573904
L_5a5ea48b-318b-46ae-8c72-3075eb2573ec_model.csv,4.171304,4.1941314,3.7748759,4.095486
L_5b520fb2-4b9e-4a25-8f54-f65c9cad77a2_model.csv,4.3202553,5.7703104,6.2738547,5.6077385
L_5d643872-dc3f-420b-9226-b9e9f89beb6e_model.csv,3.5983198,5.212446,7.5088053,5.168518
L_5f8d7f66-37fd-4d8f-aefc-cce8cded73e3_model.csv,8.154925,4.9791474,2.8977957,4.7604
L_622789cf-c8b6-4f68-a8c0-52320abe9bfb_model.csv,3.5260255,5.5757113,4.452906,5.6011276
L_62700364-9108-4098-b825-e87c6f210d0b_model.csv,2.9470458,5.8227334,2.4592483,5.785679
L_627ff35a-b72a-4a97-8e7a-ddd1356ee124_model.csv,7.6754613,5.660094,5.834701,5.518654
L_6671a2d1-e3a2-4094-a6e4-f09c6f7ea04f_model.csv,3.0703347,3.1794522,3.1739767,3.088868
L_67ee806d-8d6c-4466-870a-4418d602f351_model.csv,6.030318,4.4280195,3.2895143,4.2547846
L_68d135a5-1e22-4c67-9dc7-eac7256683cc_model.csv,2.4460032,3.3634536,2.3420331,3.3876712
L_70295046-49d8-4700-93ec-b32a28302661_model.csv,8.626919,5.7603874,6.386511,5.7380495
L_722c5317-787e-47de-b98c-5986495b527a_model.csv,4.4494295,4.0066957,1.858126,3.8209164
L_76d79dc9-dde2-4b1a-80da-468fb49036d5_model.csv,3.6372566,5.0642653,2.6122859,4.987037
L_774c49d4-f60e-408c-83ee-b2951aa152b9_model.csv,2.2043226,4.032101,2.0907965,3.825719
L_7a8cfff7-21d1-4256-b7ce-b33e4c95bb2a_model.csv,7.7957315,5.6461773,7.435594,5.3378
L_7cd3485c-822d-4253-aef3-e20b39d2cd5d_model.csv,4.1167016,4.757079,3.0505805,4.598689
L_7f21c91e-0bd9-4be6-a22c-20d1d80dc2f4_model.csv,2.257455,4.119731,1.6643106,3.8294134
L_80ba8e66-486e-4cec-8a05-cd851b68c40d_model.csv,6.1474323,5.725255,6.276148,5.746179
L_834a8532-b590-41a8-b687-af1d0c0c4548_model.csv,10.243326,5.712207,9.309611,5.66712
L_8368ee90-ded3-424b-b482-66daaa6b6c5d_model.csv,7.3801265,4.5431156,6.4776382,4.4858627
L_83914040-2926-4e46-bcda-a1a6bdc47442_model.csv,5.4048615,4.7897,3.5723748,4.4455233
L_87a2a042-ef7b-4e60-a03c-498695866865_model.csv,1.996407,5.1794157,1.7613477,5.097369
L_8a5e870e-b1d9-47af-80c9-2fef9878e13f_model.csv,0.94916207,3.67606,1.6183958,3.3959138
L_8bc15b35-ccc0-4503-b551-e47b8c40e9f2_model.csv,6.271967,5.712065,6.076719,5.5921574
L_8d0bd219-cc9b-4956-b49d-d7530934b85c_model.csv,6.426419,4.895901,3.4839125,4.689518
L_8eb2369d-4307-4480-8587-2763e4e22ff3_model.csv,4.0762906,4.754728,2.3298857,4.688295
L_900a82db-2866-450c-8dbd-fda0715162c3_model.csv,3.8618443,5.4646177,4.2638316,5.437241
L_941f0014-bd8a-49df-8c22-31fcb41d7003_model.csv,3.0572724,4.501038,3.4121883,4.2425594
L_958a5d1a-b6b6-4aef-8bc2-6d723475abee_model.csv,5.2211323,5.0811615,4.852391,4.8724604
L_95a03797-9f08-4137-a7aa-ca900c239a8f_model.csv,3.780445,5.328095,4.9183745,5.3862863
L_9643ae2f-aafb-491e-ad01-2fc283bbc42a_model.csv,10.362295,5.6526203,8.604701,5.6317925
L_97349931-470d-4bb9-bbe8-53527ec57084_model.csv,3.5676901,3.9514549,3.9829555,3.7596564
L_979c712d-a83b-4c2c-9f67-e13fd77c3d3e_model.csv,4.7586136,5.018062,5.4569554,4.584348
L_993af61e-34de-4cea-91e7-742895e888f1_model.csv,4.411229,4.68506,3.4304352,4.4959364
L_9c2846e5-98e0-401e-a4f4-6454239229cb_model.csv,4.5230737,5.8669147,2.8921075,5.801543
L_9d4271cc-96c5-4cfb-9c71-8da6505de8e6_model.csv,2.7538493,3.6508014,1.3982548,3.4664237
L_9ed6497b-9595-42ca-a927-a5779f93b310_model.csv,4.350476,5.123119,2.1575215,4.9216146
L_a0b394c0-fe40-4a6b-902d-02e655054a9f_model.csv,3.7777135,4.9386253,3.9872894,4.66478
L_a1505633-dbd6-4af9-b366-be44343dfc8a_model.csv,3.8910775,4.8448906,3.301248,4.582758
L_a263c534-9dfb-4706-8ad7-4348f91e0aaa_model.csv,5.001123,3.922023,4.3395495,4.0685673
L_a2b47f7f-29a6-4cb0-b901-efd7fe5234b6_model.csv,3.566825,4.464054,3.3978567,4.2852817
L_a37b9ab2-7b88-4199-aec5-727c5a9ec11c_model.csv,4.467327,4.9141746,4.830457,4.7711105
L_a39a24f8-11ad-4c75-b6dc-c49307eb3dd1_model.csv,6.7076654,4.7962275,5.409256,4.4784594
L_a3d72fc5-9161-43e8-ae93-b84ee685825c_model.csv,3.5978491,5.2492714,6.47147,5.1320972
L_a5722cc8-9c95-4de3-8ada-c48ce39fed3f_model.csv,3.1260698,5.0927896,3.3796134,5.047056
L_a5c8850a-5176-4876-800d-225f1620796d_model.csv,1.3965466,3.7121205,2.1986234,3.5056643
L_a8b2663a-a5e0-4420-87a8-488ec62dadda_model.csv,5.7003765,4.998873,4.1060658,5.0527835
L_aa4f7517-9576-4932-94ea-80f2c78b857f_model.csv,3.4055994,4.180168,3.6351972,4.2665143
L_ad73b428-de83-44c4-ac15-4279546f76a9_model.csv,4.2005057,4.258135,2.8350387,4.0719194
L_ad7b9b75-5a72-4f98-9c31-b11533eaf079_model.csv,4.621268,4.5440855,3.5741951,4.1067486
L_ae6b198b-7a69-40e4-99c5-3aa7cef49c2d_model.csv,1.9684554,4.2886777,1.6334316,4.069669
L_b167beaf-8d0f-46d0-9442-99de9adda69c_model.csv,3.351815,5.4845963,1.2076573,5.5205507
L_b444cadf-d2e3-497a-ad4a-d47bdd9ecc66_model.csv,3.327851,5.435419,5.319013,5.366494
L_b696cdb8-f433-4281-8d23-4e3f7ec09c80_model.csv,8.120173,4.6924887,5.8418746,4.822865
L_b7b65b82-5616-4112-b0f2-415f812434de_model.csv,6.0175633,5.7849097,4.3907633,5.72708
L_b7fd4927-6e3c-40a5-8122-064fe8e7d653_model.csv,6.238413,5.375318,5.6272993,5.205385
L_b8f77edd-091b-4e63-a01d-8fb87a9f955c_model.csv,7.386348,4.627305,5.4061747,4.480688
L_bb46f8a2-6d16-47d8-aac0-1b46d79d3e1f_model.csv,4.0255885,4.855896,3.8543499,4.913876
L_c20d527a-043a-4326-a1dc-6cd0baa8e279_model.csv,2.4858727,4.0330763,1.5573447,3.9156384
L_c3aa7d2d-74ac-43b7-814f-9107b8dad755_model.csv,3.5918565,5.210061,4.8807807,5.148536
L_c6205bc4-7fd6-4955-8e07-a53a5040ee4c_model.csv,4.445076,4.6668305,3.998321,4.3382435
L_ca48fb14-195b-4a57-a207-d5bbb9fbbf08_model.csv,2.4401293,3.879433,2.1862843,3.5222042
L_ca6361d9-1a34-4101-90ce-35d7cd3fbfb0_model.csv,3.9572225,4.7652483,2.7237508,4.784917
L_cd81309e-3418-4213-a10d-b9363c0189b9_model.csv,5.4429526,4.718816,6.1134787,4.5980744
L_cdd661af-6385-49c8-af6d-7e39b8914637_model.csv,3.97655,5.076207,4.414924,4.9836698
L_cffa1787-9311-4c9c-8470-1a20890e60ea_model.csv,4.97137,5.8300915,2.588446,5.7165265
L_d14b0fca-e679-461e-96b8-ff510c2c018f_model.csv,3.8013542,4.7456284,3.6038585,4.662831
L_d181ccf0-4d0c-4821-b416-67234550ac41_model.csv,1.3534651,5.066921,0.5531714,4.918999
L_d42dd8da-9528-4290-a672-510c0485ad9b_model.csv,3.2656329,5.270367,3.5908282,5.215829
L_d577f240-6259-4c53-86ba-75c39ab7ce49_model.csv,3.031456,4.4914436,1.8131248,4.640803
L_d5e3620d-3723-41c7-b5ab-2d05a225f63f_model.csv,3.2000937,4.343422,2.7854445,4.118113
L_d6beebe6-bff9-4731-a985-19f5f4429ee1_model.csv,5.4857755,5.8039618,5.1703568,5.8414674
L_d7954396-adf1-43e3-b7b7-794a56ff06bf_model.csv,4.1441064,5.084538,2.7659144,5.080653
L_d798c2ef-39bd-4817-8ce1-3637936c5a14_model.csv,3.3793352,5.581785,5.4137325,5.5736966
L_d9bcd9d7-b0da-49b2-95fd-b4b928207baf_model.csv,3.8226712,4.9279504,2.697205,4.789808
L_d9d3d218-02d2-47e0-84dc-f76d817f6d27_model.csv,3.8485737,5.5139384,3.3832638,5.501764
L_da7876f2-8aae-467d-8650-3802c7a1dcda_model.csv,7.4353523,5.862151,7.5508895,5.7232165
L_dd16b33b-a9b1-4ed0-9031-440f30149544_model.csv,1.5718168,3.7040606,2.083373,3.780703
L_e21208b9-fec0-462d-b2ba-495a9dc776cf_model.csv,3.3672323,5.183894,3.6949556,5.1729374
L_e554a8ea-cf5f-40a6-98a3-ebcdfc1b1fb3_model.csv,5.144571,5.5636635,5.8447146,5.52807
L_e680dda1-50b3-49a4-b094-127a719d4a8d_model.csv,3.889818,4.7969656,3.2187283,4.460099
L_e6b0be9e-d039-4e4c-8420-5ad0c890571a_model.csv,4.7935224,5.8120565,5.199487,5.830619
L_e82d629d-b787-41aa-a3a0-7b8746bd59f2_model.csv,4.9142394,4.7618656,3.8571823,4.520691
L_e991430f-7354-4b5c-810a-ab08deef8aea_model.csv,10.821827,5.7135735,9.161455,5.622254
L_ea110dac-8dbf-4b1f-82bc-ce63a3aa19bb_model.csv,3.1883698,4.1353955,3.2144823,4.1309314
L_ed4ea1d1-33f4-4497-b661-139370f24c28_model.csv,5.0270176,5.743696,4.602345,5.6992273
L_ed9714d2-a806-4229-98a3-156000fffe8b_model.csv,5.063957,4.8122187,3.7766714,4.8124075
L_edfb7925-6bd7-402d-871f-320a2f17cf29_model.csv,3.6138752,4.917241,3.0782812,4.6549106
L_ef11d83b-a410-44a1-b321-f4f1d030fde0_model.csv,3.3730655,5.9627013,3.4765275,5.9532623
L_f5f627b8-2e57-4aa4-b5b5-8a4f98dff990_model.csv,4.173079,5.342696,5.249488,5.430076
L_f6f7c946-ef67-47c0-8a89-b0e310b3ca1a_model.csv,5.4878507,5.249415,5.052585,4.8197675
L_f749b6b2-fb4c-4984-a96e-aebb3400a8eb_model.csv,1.8469559,4.2850246,2.5319638,4.478047
L_f8f3bc25-42a5-4e8c-a8db-d6b0e7a581b4_model.csv,2.6517239,4.028054,2.0750368,3.8475275
L_f9737ce7-405c-4f77-8400-47f47d3a7a9b_model.csv,6.083856,5.56124,5.2624288,5.4096394
L_fca6cbc2-f685-4aa5-9ebf-0cea31310dad_model.csv,9.705395,5.709123,7.7836986,5.628293
L_fca80978-6f22-4e26-b6dc-cc795884fa28_model.csv,5.6618724,5.1340117,6.9051003,5.247607
L_fe593128-8683-4e26-a917-e8e570100944_model.csv,0.5797606,4.332361,1.5107516,3.8956192
L_fedb71b8-abfb-4d0c-b877-e351190ae19b_model.csv,6.229204,4.434333,3.7156954,4.422054
L_ff3d7eae-89db-4185-aa8f-f9c726d1801e_model.csv,4.879665,3.3296902,3.8546135,3.0632732
L_ffb520cf-2cd2-4497-a980-c4efa74eb51a_model.csv,7.5951304,5.55056,5.601691,5.5205917
R_015a373a-b03b-4b79-95ca-3bee5b61c408_model.csv,5.879639,5.119136,5.4457154,4.8114347
R_024c7325-aae8-4e5a-b358-bfa860948364_model.csv,1.2213413,3.7446306,0.73113257,3.314519
R_068e2af9-58c9-415c-930d-fb5758ac6217_model.csv,3.47002,5.0528555,3.2231407,4.6408453
R_086be104-04e7-47bf-8a65-78bb80505a6e_model.csv,1.2636681,4.5003457,1.8454788,3.6273367
R_088eda3b-0610-4ebc-96ec-7d173f4c97ac_model.csv,2.8033838,3.6077406,0.5435856,3.1594129
R_0dbf9601-0a80-476f-8182-f4591e1c05e1_model.csv,2.7903533,4.031896,2.2902458,3.6484354
R_113900e2-2c82-4f61-a964-a7d47493736b_model.csv,4.952122,4.883801,4.1150913,4.6217422
R_11c0c99b-44e0-44a5-8720-1a58b4ffc8c0_model.csv,2.5089865,4.3722177,2.3345757,3.9308946
R_1571cc6f-13a1-45d9-b804-2e9fafd3658c_model.csv,2.524722,2.8260605,2.1853287,2.5140584
R_15778d84-082a-4635-82f6-4ba090ca4cea_model.csv,4.154882,5.211024,4.147284,5.14915
R_17b95d9e-6798-4d1b-89d6-9495a9bb0509_model.csv,2.7449882,4.2766156,2.8756235,3.582176
R_1928fa28-8a39-4458-9186-f78d3462261e_model.csv,1.7655094,4.071083,0.31835923,3.6182325
R_1939bef1-f620-4180-a404-942b1d4e2631_model.csv,3.7407267,5.2431827,1.2305497,4.865344
R_1a427c37-6db2-47d1-8ed1-c6e1fcdc10b4_model.csv,3.0661638,4.662676,3.5839436,3.9896963
R_1afec38e-ead2-4fa6-bb49-a6f4e60b6e6a_model.csv,2.343448,3.6503432,1.6730365,3.1735852
R_1c00b700-7508-4208-b045-ac14e74350d1_model.csv,3.9250786,5.496863,4.998626,5.1293964
R_20ec5f8f-d0a0-4a60-af02-46fd39df06f3_model.csv,3.690196,4.9954157,2.1192381,4.6143355
R_263c659e-7e42-4874-964d-f14bcc66311c_model.csv,3.2226863,4.8731513,2.1461928,4.2576036
R_26c82150-7231-41ee-8297-5a89d2462992_model.csv,4.0497494,4.363935,5.1203127,4.377116
R_27f52603-2ddd-4a13-9c69-9f5b1d800d5a_model.csv,4.8498087,5.458451,4.3453712,5.303383
R_28a9d0f8-62b2-4b53-89c4-85b0767f314f_model.csv,5.4638777,4.952195,4.7619686,4.6082134
R_2b2d5d16-ee43-4919-aedd-d141d187994a_model.csv,4.9351244,3.8926172,3.6337981,3.5671666
R_2b8a5702-696c-49e1-91ee-77249f8899c1_model.csv,4.8231263,4.688862,3.122603,4.0736203
R_2cc2663b-2f5c-4181-ba68-3e3f07232dea_model.csv,1.3591822,3.5312002,1.4138298,2.9409559
R_2cc51f8f-36c1-46a0-bc29-2c36d795813a_model.csv,2.9722495,4.6296067,1.8379341,4.3926992
R_2df42094-fc2d-4504-a972-ad6627336ecc_model.csv,5.9264936,5.633412,4.0427003,5.4233923
R_301e502a-a6ee-44fc-a376-56865eacebc7_model.csv,2.1594872,3.6594818,1.4842052,3.2537181
R_309aaf3a-e3b8-4aa4-9fc4-9759997ed44e_model.csv,2.9028313,4.1932993,1.2583239,3.5182517
R_30ca4e26-90e3-4c83-9050-63acda43aa68_model.csv,3.2022555,4.022243,3.2308438,3.7933795
R_32112974-c214-46d5-a7bd-f809c949d79c_model.csv,4.868885,4.1362653,6.667284,4.3164444
R_3411419b-c440-4b1e-ac7e-6e54bf30cd48_model.csv,2.8696012,5.093291,2.1589932,4.6830025
R_37b3549a-6d2c-4417-9b78-2986ba849628_model.csv,2.9401548,4.0453835,1.7582039,3.3260481
R_39a57232-2528-4e6d-95c6-6e99b1f44570_model.csv,6.5350366,5.718858,5.1722536,5.717498
R_3b450c69-f47a-408e-b4fc-c84e1362331d_model.csv,4.965081,5.2799053,4.847508,4.701541
R_3c3451d4-3dd8-4b9b-9511-a2ea53e4a44a_model.csv,3.5036707,4.154352,2.2976549,3.449704
R_3cfbc8a2-144c-4f45-84ce-678371e93146_model.csv,3.3895123,4.2864227,2.3248658,4.267207
R_3ed2aae7-f02b-4715-aca1-21355a042b6a_model.csv,2.3079185,4.859749,1.8649757,4.504917
R_42068c77-2e1e-41b3-9bc0-ff23de115ca3_model.csv,6.316886,3.8380482,4.0490255,3.0214674
R_431b9ec4-33de-46d6-9478-25a42005242b_model.csv,5.043079,3.9625814,3.9429166,3.39727
R_43984a17-d9f4-4811-82fc-3bfd8cf2d1a7_model.csv,3.5678132,5.6475782,2.8744104,5.537487
R_43dc76ec-3bd0-425c-8b3a-dd2082441e86_model.csv,4.010932,4.703808,2.612767,4.112402
R_43e92647-7915-4b0e-89af-a1f1a4bc26ea_model.csv,4.2502003,4.6303453,4.3727574,4.134056
R_43eba649-05c1-4dc9-a907-96203d791593_model.csv,0.73172086,4.189209,0.65932477,4.2899323
R_44815c25-6470-4fac-bbc9-f1e48c23a040_model.csv,4.4589634,4.6092424,3.1921513,4.1641464
R_48462313-5dd4-41b4-9b34-6e506ded92ca_model.csv,1.7215713,4.6877913,2.9890819,4.624795
R_52e58153-c42a-45e9-a0fe-b01b54acc9f7_model.csv,7.808631,6.07878,7.7913046,6.00171
R_537fb413-c228-4066-ad8b-12e7299a5549_model.csv,5.0140095,3.540645,1.8716618,3.3780904
R_543ed96b-5975-4f03-87c0-f8727d89b960_model.csv,3.3817406,4.5475307,2.6079314,3.9750836
R_559f0264-908f-435b-be68-5b5d226615cb_model.csv,7.8672485,5.7826157,5.5067625,5.6673207
R_5830c810-16cb-47b0-8b49-fb9b18049dc2_model.csv,2.300247,5.303054,1.4716402,4.9844513
R_5864b9ab-7cdb-40c5-9a77-8636b63427db_model.csv,3.812353,5.4974346,2.4117372,5.3348913
R_5ab270f7-2b37-41f1-9dd0-238eda965620_model.csv,5.058792,5.4297967,4.709372,5.1005125
R_6024eae6-4c5c-45c1-bbeb-72e803cc45fa_model.csv,6.5372353,6.080619,5.5953703,6.001073
R_606499dc-48dd-4117-9dc7-3f97339b8fee_model.csv,6.2774453,5.896886,5.8221087,5.7674036
R_64415f02-3d33-416c-9954-51ff0e3f4b2a_model.csv,4.7590213,5.2943177,2.3071783,4.6597376
R_647f3d19-478a-4838-8e06-d2006519937c_model.csv,3.9313247,5.8076777,3.4799595,5.560795
R_64a583aa-b1d5-4982-a4e7-2fd5e2b22e86_model.csv,4.031632,4.2557206,2.9842637,3.5670745
R_65909a0c-3347-4618-894a-1db5a0d677d1_model.csv,2.1299617,5.392412,1.6817191,5.186216
R_6631f351-690e-423b-8264-01873195a374_model.csv,5.990648,4.8234944,4.9477654,4.517395
R_68f46edd-7961-437e-ad49-1da20c80836c_model.csv,2.3640025,3.5433135,1.813508,2.9290984
R_69d6d65b-598c-4c81-af19-986b32390537_model.csv,1.9565449,3.837775,2.2952402,2.7288685
R_6a4ac403-4cf2-48d4-a4f4-be04df2e503e_model.csv,0.8055603,3.7278423,1.0276854,3.7215488
R_70608bed-2247-48d4-9b9f-aa1bf4d393cf_model.csv,2.6703598,3.4362833,0.9315555,2.945556
R_70a987bd-38ee-4a1f-b592-8bd4ffd71ac3_model.csv,3.808388,3.7000296,4.132664,3.5776494
R_719c46af-71f3-4d94-a613-f436b1ed5527_model.csv,8.21071,5.3923573,8.05557,5.220542
R_78d4ed81-5552-4188-a351-84a86d20ad4b_model.csv,8.466644,6.135627,7.3448853,6.068006
R_7caeaba7-1d2c-44f6-ae72-1366532dd738_model.csv,3.5387352,5.574398,2.7581522,5.447555
R_7e33d207-ada6-47b9-b4d1-12d713364840_model.csv,2.5578089,4.0453544,1.8748182,3.071123
R_7ff902be-6894-47b6-a0d9-68d245ebc6ab_model.csv,3.1100457,5.6893167,2.6191726,5.4309883
R_82a9f764-767a-482c-ac7d-6fe2ac6a325e_model.csv,3.1627529,4.628724,2.5593069,4.0738444
R_86e85b14-a170-46e5-bc0a-5066617f5603_model.csv,3.95804,4.5707755,2.235543,3.9176822
R_8ac4f29c-cdf8-4be3-b983-b76b56e2d07d_model.csv,3.4343538,5.1185293,2.4251606,4.802754
R_8b7cfc2a-f68a-4327-8e38-8c640a57b2fc_model.csv,1.796826,3.3579762,1.0100076,3.2147112
R_8cd958fb-f560-49d0-ae15-250b77a735d7_model.csv,1.8271285,3.674873,0.28565097,3.2326581
R_90982b67-33ec-4659-96c8-08e705f6b8a4_model.csv,5.808126,5.336171,5.6574397,5.0021496
R_910bbbb6-1b06-4155-8797-28ec421edcc2_model.csv,2.9411857,5.534068,2.8237543,5.1876283
R_950739d3-1362-4dda-aebc-f32bdb0fb5b2_model.csv,9.451814,6.040637,6.392165,5.9580646
R_95fef184-0697-4238-830a-c8f2f345a494_model.csv,3.4940908,4.978278,2.9649694,4.668522
R_968932ac-0327-43cc-b934-4fe2bdd55f0d_model.csv,1.955289,4.3284035,1.143253,3.8225381
R_9a16ad88-8060-4b8d-a721-9631c8b3f096_model.csv,5.766261,3.761945,2.7065217,3.6631098
R_9c1432fe-5c0e-4de4-b68f-ee65a3ff2985_model.csv,7.4049406,5.2913423,7.486182,5.2094965
R_9d246ed9-7438-4725-85ed-4e31691713dc_model.csv,3.8708751,4.752714,2.3189065,4.6047
R_9d48389b-753d-4c52-8bcd-ad45fedb2a8b_model.csv,3.4894254,3.8553689,2.7188256,3.4072664
R_9e3be158-1882-4de6-b157-11b7cff0e92b_model.csv,4.4499574,4.5734553,2.0654893,4.6108055
R_a10b58ea-944f-412c-9928-ed9c7f5afea5_model.csv,4.4365687,4.5233283,3.6949089,4.349153
R_a14a0079-b918-4e81-8b12-c469c9ff3865_model.csv,1.2131262,3.4567935,0.6556191,2.9562156
R_a2461a58-ea12-4baf-b6ef-c405e7aba323_model.csv,3.3454587,4.3069963,2.2519765,3.5993745
R_a725c9f5-2b41-4b8c-9cdd-680dd2eb0d92_model.csv,2.983308,4.880534,1.2140702,4.1174297
R_a744c169-49c2-4ce4-9897-04c530c21ab1_model.csv,3.9369524,4.636448,2.2165823,4.1398196
R_a75f157e-c680-49be-b9db-956f1045e623_model.csv,7.4741793,5.8798428,5.883946,5.736287
R_ab9fe588-79f1-4945-af95-4f80b6f7301e_model.csv,1.2934983,3.901481,0.9906867,2.8491318
R_acd5bb57-da49-46b5-980f-0553b1727486_model.csv,2.6644328,5.612797,2.015271,5.278182
